Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_Zombiepedia_group,Quest,Quest Info,,,"Educate Yourself with Zombiepedia",,,,,,,,,,,,,,
quest_Zombiepedia_dialog,Quest,Dialogs,,,"Gain skillpoints by reading through the Zombiepedia volume.",,,,,,,,,,,,,,

item_Zombiepedia_book1_name,items,Quest - Note,,,"Zombiepedia Volume1: Blood Moon Horde Night",,,,,,,,,,,,,,
item_Zombiepedia_book1_desc,items,Quest - Note,,,"A single volume from an encylopedia named Zombiepedia.\n\nThis volume provides tips, tricks and helpful information about: Blood Moon Horde Night\n\nAfter you read this volume, you can read the contents again in your Journal.",,,,,,,,,,,,,,
quest_Zombiepedia_Book1_name,Quest,Quest Info,,,"Zombiepedia: Blood Moon Horde Night",,,,,,,,,,,,,,
quest_Zombiepedia_Book1_subtitle,Quest,Quest Info,,,"Read the Zombiepedia Volume",,,,,,,,,,,,,,
quest_Zombiepedia_Book1_description,Quest,Quest Info,,,"Learn details of the world around you by reading the Zombiepedia Volume.",,,,,,,,,,,,,,
quest_Zombiepedia_Book1_offer,Quest,Quest Info,,,"You read the encyclopedia volume and gain two skill points.\n\nZombiepedia, Volume1: Blood Moon Horde Night:\n\n1.1: Your gamestage defines the difficulty of the zombies that will attack you during a blood moon. - Shouden Kalferas\n1.2: During blood moon, vultures are able to fly at an amazing speed equivalent or possibly even surpassing that of all vehicles. - DeViT\n1.3: Blood moons occur every 7 days, although some survivors report experiencing blood moons with a varying range between 7 days and the variance configured. - Gouki & Shouden\n1.4: You are safe on blood moon day until the start of blood moon, which typically is 22:00. - Umbraldisappointment\n1.5: Garage doors can be used as emergency bridges and fall traps for the undead. - Umbraldisappointment\n\nAfter you read this volume, you can read the contents again in your Journal.",,,,,,,,,,,,,,
ZombiepediaBook1,Journal Tip,,,,"Zombiepedia, Volume1: Blood Moon Horde Night:\n\n1.1: Your gamestage defines the difficulty of the zombies that will attack you during a blood moon. - Shouden Kalferas\n1.2: During blood moon, vultures are able to fly at an amazing speed equivalent or possibly even surpassing that of all vehicles. - DeViT\n1.3: Blood moons occur every 7 days, although some survivors report experiencing blood moons with a varying range between 7 days and the variance configured. - Gouki & Shouden\n1.4: You are safe on blood moon day until the start of blood moon, which typically is 22:00. - Umbraldisappointment\n1.5: Garage doors can be used as emergency bridges and fall traps for the undead. - Umbraldisappointment\n",,,,,,,,,,,,,,
ZombiepediaBook1_title,Journal Tip,,,,"Zombiepedia Volume1: Blood Moon Horde Night",,,,,,,,,,,,,,
quest_Zombiepedia_Book1_statement,Quest,Quest Info,,,"Educate yourself with Zombiepedia Volume1",,,,,,,,,,,,,,

item_Zombiepedia_book2_name,items,Quest - Note,,,"Zombiepedia Volume2: Building Materials",,,,,,,,,,,,,,
item_Zombiepedia_book2_desc,items,Quest - Note,,,"A single volume from an encylopedia named Zombiepedia.\n\nThis volume provides tips, tricks and helpful information about: Building Materials\n\nAfter you read this volume, you can read the contents again in your Journal.",,,,,,,,,,,,,,
quest_Zombiepedia_Book2_name,Quest,Quest Info,,,"Zombiepedia: Building Materials",,,,,,,,,,,,,,
